"filename", "language", "gdshader", "Properties", "GDScript", "Batch", "TOML", "GDResource", "XML", "Markdown", "CSV", "JSON", "comment", "blank", "total"
"e:\Dev\Godot\佛祖放置\Asset\FX\Coin01.ogg.import", "GDResource", 0, 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, -6, -20
"e:\Dev\Godot\佛祖放置\Asset\FX\Coin02.ogg.import", "GDResource", 0, 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, -6, -20
"e:\Dev\Godot\佛祖放置\Asset\Font\DreamSource\DreamHanSans-W14.ttc.import", "GDResource", 0, 0, 0, 0, 0, -28, 0, 0, 0, 0, 0, -6, -34
"e:\Dev\Godot\佛祖放置\Asset\Font\DreamSource\DreamHanSans-W18.ttc.import", "GDResource", 0, 0, 0, 0, 0, -28, 0, 0, 0, 0, 0, -6, -34
"e:\Dev\Godot\佛祖放置\Asset\Font\DreamSource\DreamHanSans-W23.ttc.import", "GDResource", 0, 0, 0, 0, 0, -28, 0, 0, 0, 0, 0, -6, -34
"e:\Dev\Godot\佛祖放置\Asset\Music\Background.wav.import", "GDResource", 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, 0, -6, -25
"e:\Dev\Godot\佛祖放置\Asset\Theme\scroll.tres", "GDResource", 0, 0, 0, 0, 0, -26, 0, 0, 0, 0, 0, -7, -33
"e:\Dev\Godot\佛祖放置\Asset\UI\Bar.png.import", "GDResource", 0, 0, 0, 0, 0, -29, 0, 0, 0, 0, 0, -6, -35
"e:\Dev\Godot\佛祖放置\Asset\UI\ItemPanel.png.import", "GDResource", 0, 0, 0, 0, 0, -29, 0, 0, 0, 0, 0, -6, -35
"e:\Dev\Godot\佛祖放置\Asset\img\Background\MythCity.jpg.import", "GDResource", 0, 0, 0, 0, 0, -29, 0, 0, 0, 0, 0, -6, -35
"e:\Dev\Godot\佛祖放置\Asset\img\Character\Apollo.jpg.import", "GDResource", 0, 0, 0, 0, 0, -31, 0, 0, 0, 0, 0, -6, -37
"e:\Dev\Godot\佛祖放置\Asset\img\Character\Ares.jpg.import", "GDResource", 0, 0, 0, 0, 0, -31, 0, 0, 0, 0, 0, -6, -37
"e:\Dev\Godot\佛祖放置\Asset\img\Character\Athena.jpg.import", "GDResource", 0, 0, 0, 0, 0, -29, 0, 0, 0, 0, 0, -6, -35
"e:\Dev\Godot\佛祖放置\Asset\img\Character\Dancer.png.import", "GDResource", 0, 0, 0, 0, 0, -29, 0, 0, 0, 0, 0, -6, -35
"e:\Dev\Godot\佛祖放置\Asset\img\Character\Hades.jpg.import", "GDResource", 0, 0, 0, 0, 0, -29, 0, 0, 0, 0, 0, -6, -35
"e:\Dev\Godot\佛祖放置\Asset\img\Character\Hera.jpg.import", "GDResource", 0, 0, 0, 0, 0, -29, 0, 0, 0, 0, 0, -6, -35
"e:\Dev\Godot\佛祖放置\Asset\img\Character\Poseidon.jpg.import", "GDResource", 0, 0, 0, 0, 0, -29, 0, 0, 0, 0, 0, -6, -35
